Code,Product Name,Unit,Current Stock,Sales Scheme Deal,Sales Scheme Free,Purch Scheme Deal,Purch Scheme Free
0000344,MUMMUM-1 400GM 1,PCS,29,0,0,0,0
0000345,MUMMUM-2 400GM 1,PCS,20,0,0,0,0
it10415,MVCONRE TAB* 1*10,PCS,102,0,0,5,1
0000314,MYCODERM C DUSTING POW 100GM,PCS,12,0,0,0,0
0000313,MYCODERM DUSTING POW 150GM,PCS,34,0,0,0,0
0000315,MYCODERM NM CRM 10GM,PCS,10,0,0,0,0
it9976,MYLAMIN GOLD CAP 1*15,PCS,3,0,0,0,0
it10829,MYLAMIN PG 1*15,PCS,0,0,0,0,0
it10830,MYLAMIN PG SR 1*15,PCS,0,0,0,0,0
it9340,MYLAMIN TAB 1*10,PCS,26,0,0,0,0
it10144,MYMARDA 200 1*15,PCS,0,0,0,0,0
it10382,MYMARDA 50 1*10,PCS,7,0,0,0,0
it9484,MYOSONE PLUS TAB 1*6,PCS,4,0,0,0,0
it9483,MYOSONE SR TAB 1*10,PCS,0,0,0,0,0
it9623,MYOSONE TAB 1*10,PCS,0,0,0,0,0
it8491,MYOTAN 40 TAB 1X10,PCS,0,0,0,0,0
it8904,MYOTAN CT 40/12.5 TAB 1*10,PCS,0,0,0,0,0
it10412,MYOTAN CT 40/6.25 1*10,PCS,0,0,0,0,0
it7920,MYOTOP 150 TAB 1X10,PCS,7,0,0,0,0
it8107,MYOTOP 450 SR TAB 1X6,PCS,0,0,0,0,0
it9898,MYOTOP D TAB 1*10,PCS,12,0,0,0,0
it7921,MYOTOP DSR TAB 1X5,PCS,0,0,0,0,0
it7922,MYOTOP P TAB 1X10,PCS,33,0,0,0,0
0000433,NAPROSYN 250+ TAB 15*10,PCS,90,0,0,0,0
0000432,NAPROSYN 500+ TAB 10*10,PCS,89,0,0,0,0
0000429,NAPROSYN D 250MG TAB 1*10,PCS,110,0,0,0,0
0000442,NAPROSYN D 500 MG TAB 1*10,PCS,123,0,0,0,0
it10206,NAPROSYN M 1,PCS,0,0,0,0,0
0000540,NAPROSYN SUSP60ML 1,PCS,5,0,0,0,0
it10224,NASOCLEAR COUGHO 2D+1N 10ML 1,PCS,0,0,0,35,4
it10364,NAZODROP FF 1,PCS,1,0,0,0,0
it9598,NAZOMAC AF SPRAY 1,PCS,4,0,0,0,0
it9597,NAZOMAC F SPRAY 1,PCS,4,0,0,0,0
it9596,NAZOMAC M SPRAY 1,PCS,3,0,0,0,0
it8440,NEBICARD 2.5 TAB 1X10,PCS,40,0,0,0,0
it7501,NEBICARD 5 TAB 1X10,PCS,30,0,0,0,0
it8259,NEBICARD H TAB 1X10,PCS,2,0,0,0,0
it10040,NEBICARD LN 2.5 TAB 1*10,PCS,20,0,0,0,0
it10041,NEBICARD LN 5 TAB 1*10,PCS,30,0,0,0,0
it7502,NEBICARD SM TAB 1X10,PCS,20,0,0,0,0
it10906,NEBICARD T 2.5 TAB 1*10,PCS,20,0,0,0,0
0000189,NEBICARD T TAB 1*10,PCS,13,0,0,0,0
it9973,NEBIMAC 5 MG 1*10,PCS,0,0,0,0,0
it9266,NEBZMART - IL SMARTULES - 5'S 1*5,PCS,0,0,0,5,1
it9267,NEBZMART B 0.5 MG 1,PCS,0,6,0,3,1
it9268,NEBZMART B 1 MG 1*7,PCS,0,0,0,1,1
it10094,NEBZMART BL 8*1,PCS,0,0,0,5,1
it9775,NEBZMART FB 0.5 MG 7*2ML,PCS,4,0,0,0,0
it10161,NEBZMART FB 1MG 7*2ML,PCS,4,0,0,0,0
it9513,NEBZMART G 8*2ML,PCS,0,0,0,0,0
it10550,NEBZMART GF COMBIPACK,PCS,0,0,0,0,0
it10788,NEBZMART GFB SMARTULE 1*5,PCS,13,0,0,0,0
it8590,NEKSIUM 20MG TAB 1*10,PCS,0,0,0,0,0
it8589,NEKSIUM 40MG TAB 1*10,PCS,0,0,0,0,0
it7503,NEOCID SYP 170ML,PCS,91,11,1,11,1
it7505,NEOCID-O SYP 170ML,PCS,78,0,0,11,1
0000730,NERVITE PLUS 1*10,PCS,4,0,0,0,0
0000729,NERVITE TAB 1*10,PCS,0,0,0,0,0
it10090,NERVITE XT 1*10,PCS,0,0,0,0,0
it8707,NERVOK CAP 1*10,PCS,70,0,0,0,0
it8894,NERVOK-HP INJ 1*2ML,PCS,500,0,0,0,0
it9577,NETILMAC 10 INJ VIAL,PCS,0,0,0,0,0
it9366,NETILMAC 25 INJ VIAL,PCS,0,0,0,0,0
it9653,NETILMAC 300 INJ VIAL,PCS,0,0,0,0,0
it9724,NETILMAC 50 INJ VIAL,PCS,0,0,0,0,0
it7507,NETROMAX 10MG INJ VAIL,PCS,2,0,0,0,0
it7508,NETROMAX 150MG INJ VAIL,PCS,0,0,0,0,0
it7511,NETROMAX 25MG INJ VAIL,PCS,8,0,0,0,0
it7509,NETROMAX 300MG INJ VAIL,PCS,30,0,0,0,0
it7510,NETROMAX 50MG INJ VAIL,PCS,0,0,0,0,0
it10263,NEUROTRAT LM TAB 1*10,PCS,29,0,0,9,1
it7512,NEW DEWSOFT CREAM 50GM,PCS,5,0,0,0,0
it7513,NEW DEWSOFT KID SOAP 1X75GM,PCS,0,0,0,0,0
it7412,NEW FULCIN DROP 5ML,PCS,0,0,0,10,1
it10667,NEW HATRIC-3 TABS 1*10,PCS,0,0,0,0,0
it9410,NEXOVAS 10 TAB 1*10,PCS,23,0,0,0,0
it9628,NEXOVAS 20 TAB 1*10,PCS,18,0,0,0,0
it9409,NEXOVAS 5 TAB 1*10,PCS,7,0,0,0,0
it10467,NEXOVAS BETA TAB 1*10,PCS,0,0,0,0,0
0000631,NEXOVAS CH TAB 1*10,PCS,5,0,0,0,0
it9492,NEXOVAS M50 TAB 1*10,PCS,10,0,0,0,0
it9520,NEXOVAS O TAB 1*10,PCS,1,0,0,0,0
it10488,NEXOVAS T 20/40 TAB 1*10,PCS,0,0,0,0,0
it9861,NEXOVAS T TAB 1*10,PCS,10,0,0,0,0
it10836,NEXOVAS TC TAB 1*10,PCS,0,0,0,0,0
